,context_before,equation,context_after,INPUT:text,FILENAME,latex_len
88,0 &,$ 4.21 \pm 0.43 $,& C43-4 &,4.21 plus or minus 0.43,1016784,17
89,while,$ \chi ( T^2 ) $,denotes the Euler number of,chi of T squared.,4351911,16
90,there exists,"$ T=T ( B , \omega ) > 0 $",such that,"T equals T of B, omega, greater than zero.",2343949,26
91,< p,$ ) polynomial in the $,e_i,polynomial.,8503053,23
92,and admit an asymptotic expansion in homogeneous functions,$ a_k ( \xi ) $,of degree,a sub k of xi,12607339,15
93,em Assume that such a pair,"$ ( b , g ) $",exists . Then the sign of the functional equation of,"b, g",9200902,13
94,and,"$ z_1 , \ldots , z_J $","functional and scalar covariates , respectively ,","z sub 1, ellipsis, z sub J",14239670,22
95,introduce the potential,$ V_ { \mu\tau } = 10^ { -5 } V_e $,which becomes relevant if the medium is very dense . The,V sub mu tau equals 10 to the power of negative 5 times V sub e.,1673303,35
96,At,$ a=30 M $,", this binary has an eccentricity",a equals 30 times M,13181706,10
97,is such that,$ W '' \geq -c $,", then",W prime quantity greater than or equal to negative c.,13202023,16
98,and their dimension ranges from,"$ ( 176,256,150 ) $",to,"(176, 256, 150)",4573586,19
99,&,$ 4.76\pm0.34 $,&,4.76 plus or minus 0.34,1101943,15
100,055 % Test of lepton universality with,$ B^0 \to K^ { * 0 } \ell^+\ell^- $,"decays ,","B to the power of 0, arrow, K to the power of star 0, ell to the power of plus ell to the power of negative.",14899097,35
101,Note that since,$ u_- < v < u_+ $,",",u minus v less than v less than u plus,196511,17
102,satisfies the vorticity formulation of the damped Euler,$ ( \nu = 0 ) $,or Navier-Stokes,nu equals zero.,7337719,15
103,let,$ \widehat \Pi = \Pi \oplus ( 1-\Pi ) $,be a projection acting on,Pi hat equals Pi direct sum one minus Pi.,12691190,39
104,and,"$ C=C ( \epsilon , a ) . $","Similarly , we get the estimate",C equals C open parenthesis epsilon comma a close parenthesis.,7991716,26
105,6,"$ modes is negative , $",3,modes is not.,5091947,23
106,With,$ z = x + yi $,", we also can recover",z equals x plus y times i.,81987,14
107,the model outputs the probability of classes as,$ P_\phi^f ( y|x ) $,. The LayoutLM is based on the,P sub phi to the power of f of y given x.,14491515,20
108,we have that,"$ \Omega_ { R,0 } = \omega_ { \varphi } $",has an isolated singularity at,Omega sub R comma zero equals omega sub phi.,2946874,41
109,When,$ r_k ( \delta_0 ) =r_k=0 $,", by Proposition~",r sub k times delta sub 0 equals r sub k equals 0.,13200535,27
110,For a Hamiltonian expressed in the form,$ H = \sum_j h_j \sigma_j $,", where",H equals the sum over j of h sub j times sigma sub j.,1888115,27
111,and put,"$ r ( \lambda , \mathcal { T } '_N ) = j $",. Then with similar arguments as in,"r of lambda, T prime N equals j.",568035,42
112,iff,"$ ( v , w ) =0 $",for all,v comma w equals zero.,9709149,16
113,and,"$ u , v \in A ^ * $",", then we define","u, v belongs to A star",2462769,19
114,first define,$ \ell ( 0 ) [ t ] : =0 $,"and , for","ell of zero, open bracket t, close bracket, is defined as zero.",456662,25
115,all residuals fall within,$ ~0.0012 $,. The recoil velocity is more challenging since it is very sensitive to spin angles . The system with the largest residual has an error of,zero point zero zero one two.,10794213,11
116,&,$ 15753^ { +135 } _ { -172 } $,&,"One five seven five three raised to the power of positive one three five, sub negative one seven two.",1357646,30
117,and since we will in fact have,$ y_j = n $,", the inequality",y sub j equals n.,907099,11
118,and,"$ h_ { [ t_ { j , i-1 } , t_ { j , i } ] } $",are the observed forecast and upper bound functions at,"h sub open square bracket t sub j, i minus 1, comma t sub j, i close square bracket",2985962,44
119,such that,$ f^2 ( Y ) \leq V ( Y ) $,for all,f squared of Y is less than or equal to V of Y.,5066874,26
120,and,$ |B| = \ell - 1 $,", and let",Absolute value of B equals ell minus one.,9069115,18
121,Lorentzian metric with signature :,"$ ( - , + ; - , + , + , \cdots ) $",". The standard practice is to define the physical spacetime coordinates ,","Minus, plus, semicolon, minus, comma, plus, comma, plus, comma, ellipsis, close parenthesis.",2483814,34
122,Hence,$ x_i ( t ) \to 0 $,as,x sub i of t goes to zero,6692519,19
123,and,$ \widetilde { \mathcal { O } } ^ { ( L ) } $,respectively . The correlators involving these components are still invariant under the bosonic subalgebra of the full superconformal algebra,tilde O superscript L,15669533,45
124,Assume that,$ T_j= R_j^1 + R_j^2 $,so that,T sub j equals R sub j one plus R sub j two.,5037306,22
125,come from the automorphism group,$ \mathcal { J } ^U $,. Here,J raised to the power of U.,11938634,21
126,such that,$ \tilde X ( 0 ) \neq0 $,and,tilde X open parenthesis zero close parenthesis not equal to zero,12683870,24
127,and,"$ \delta_ { i , j } =0 $",if,Spoken English: delta sub i comma j equals zero.,15189101,24
128,&,$ 84.5\pm0.4 $,&,Eighty-four plus or minus zero point four.,4627938,14
129,&,$ 2.2179825\pm0.0000009 $,&,2.2179825 plus or minus0.0009.,15093971,25
130,gives a proper birational morphism,$ g : \tilde { Y } \to Y $,. Let 's fix a rank,g maps from tilde Y to Y.,8610650,26
131,&,$ -1.547 \pm 0.020 $,&,-1.547 plus or minus 0.020,1325740,20
132,if and only if,$ \overline { \mathcal { J } } _1 $,is a,overline J sub 1,5075523,35
133,such that,$ s=ha^id b^j $,. We first prove that,s equals ha raised to the power of i d b raised to the power of j.,7868658,15
134,and,"$ \mathfrak { Y } ^ { \sigma } _ { \eta , s } $",and,"Y raised to the power of sigma, sub eta comma s.",237285,47
135,then,$ b^p_ { ij } =0 $,.,b raised to the power of p sub i j equals zero.,1977742,18
136,be an open set such that,$ \Sigma\Subset \Omega $,. For,Sigma subset Omega.,1098522,24
137,and,$ \Delta^0\star S $,are denoted,Delta to the power of zero star S.,5070537,19
138,and,"$ ( p , p , 3 ) $","respectively . For these three cases , the association process is very detailed . Moreover , thanks to the well-written and explicit survey","p, p, 3",7349233,17
139,for any sequence,"$ x_n\in A_n , n\geq 1 $",such that,"x sub n belongs to A sub n, n greater than or equal to 1.",6286952,24
140,& & & & 53 &,$ -D^ { ( 3 ) } _ { 55 } $,&,"minus D to the power of 3, subscript 55.",5145501,26
141,If,$ \ell < 0 $,", then almost surely",ell is less than zero.,15804698,12
142,The predictions of the lowest order expansion in,$ p=\dot { \gamma } /J $,", obtained from Eq.~",p equals the time derivative of gamma divided by J.,1590395,24
143,then we gain something by using sharper bounds for,$ |C_t ( x ) -C_t ( y ) | $,above . Considering the sum over,The absolute value of C sub t open parenthesis x close parenthesis minus C sub t open parenthesis y close parenthesis.,2842002,27
144,The embedding of a triangle,$ t=ijk $,and its neighbors,t equals i j k,7854138,9
145,and columns,$ ( j-1 ) p+1 $,through,"open parenthesis, j minus 1, close parenthesis, p plus 1.",2475907,15
146,Both paths will end at the same critical cube,"$ ( y , \emptyset , A+C+x-y , D ) $",", where","( y, empty set, A + C + x-y, D )",12029363,35
147,where,"$ K ' = K \oplus B ( 0,2 ) $",and the implicit constants depend on the compact,K prime equals K XOR B open parenthesis zero comma two close parenthesis.,1034951,28
148,and,$ C_ { max } \geq 0 $,"representing the maximum completion time of all jobs , also known as the makespan . The FJSP aims at finding task-to-machine assignments and their corresponding schedules such that the makespan",C sub max is greater than or equal to zero.,1362016,21
149,In the decoupling limit,$ \mathcal { J } \to 0 $,", the equilibrium state will preserve the inversion symmetry to fully compensate the orbital effect , hence we expect",J goes to zero.,5716890,24
150,em,"$ x_ { m } \in ( c_3 , c_6 ) $",", and",x sub m belongs to the open interval from c sub 3 to c sub 6.,4462510,30
151,if and only if,"$ P , Q \in \mathbb { C } [ x_1 , x_2 ] $",are Laurent polynomials in,"P, Q belong to the set of complex numbers, C, with variables x sub 1 and x sub 2.",11966328,41
152,but,$ \langle Q^2 \rangle \neq 0 $,"and is generally expected to grow in a power law fashion ,",Angle Q squared is not equal to zero.,7295359,30
153,does not hold in the case,$ \alpha > \alpha_ { HS } $,. % % % % % % % % % % % % % % % Section 7 % % % % % % % % % % % %,Alpha is greater than alpha sub HS.,74380,27
154,Under the effect of,$ \hat { U } = \exp ( - i \hat { H } t ) $,", the time evolved state , at time",The hat U equals e to the power of negative i hat H t.,7902434,42
155,-cycle around,$ \mu_ { 0 } =3.540 $,", as we may also confirm in Figure",mu sub zero equals 3.540.,1647885,21
156,For each,$ [ \omega ] \in\Omega_ { \check { M } } $,", the linear span",Open square bracket omega close square bracket belongs to capital Omega subscript check M.,3411187,42
157,where,$ s_\mu = \mu \sqrt { 2 \pi } $,is a scaling factor . The length scale parameter is denoted by,s sub mu equals mu square root of 2 pi.,5675501,31
158,There are constants,$ \mathcal { B } _h $,such that as,B sub h.,12134170,21
159,splits as a sum,"$ b_0 \oplus b_1 , $",where,b sub 0 exclusive or b sub 1.,598028,20
160,If we denote,"$ ( G ( t ) , F ( t ) ) $",and,"G of t, comma, F of t",115451,25
161,For partitions,"$ P= ( p_1 , p_2 , \dots ) $",and,"P equals open parenthesis p sub 1, comma, p sub 2, comma, ellipsis, close parenthesis.",5052071,28
162,The STAR measurements on midrapidity net-proton yields in Au+Au collisions in the Beam Energy Scan program favor,$ \lambda_B = 0.2 $,~,Lambda sub B equals 0.2.,15646012,19
163,; and let,"$ \Gamma , \Delta , d > 0 $",with,"Gamma, Delta, d greater than 0.",13285281,27
164,is in the nonnegativity cone,$ \mathcal { P } ^+_ { \sigma ( f_i ) \cap F } $,. By the condition,Mathcal P plus sigma f sub i intersection F,7346868,48
165,is represented as,$ \widehat { o_ { off } } $,". Consequently , we can easily obtain the offset of the subobject relative to the base object . When we perform alias analysis , we determine the relationship between the",wide hat o sub off,13146251,27
166,&,$ 1.198 \pm { 0.042 } $,&,1.198 plus or minus 0.042,409275,23
167,&,$ 0.51_ { 3.6 } $,&,zero point one five one subscript three point six.,4644173,17
168,which graphically implies,$ c=5.25 $,and,c equals 5.25,12537339,10
169,is outside,$ \hat { r } _2^ * $,. We find the minimum bounding box,r hat sub 2 star,5702181,20
170,And,$ C_0=0.56802827 $,",",C sub zero equals zero point five six eight eight seven.,3957604,18
171,This mass matrix along with the Dirac mass matrix arising from,$ y_ { ij } ^ { ( \nu ) } $,Yukawa coupling can generate tiny neutrino masses . As a consequence of,y sub i j superscript nu,10206472,27
172,with,$ \alpha_5 > 0 $,", are in fact strongly constrained by the following argument , which was formerly developed in",Alpha sub 5 greater than 0.,3371629,16
173,The main difference with respect to the Galois case is that if,$ \zeta_n\notin K $,", the label",Zeta sub n not in K.,6200043,19
174,is defined to be the biggest time for which,$ \Delta K ( \tau ) \geq \epsilon $,", where ,",Delta K of tau is greater than or equal to epsilon.,9617362,35
175,we know that,"$ \Delta_t b_ { k,0 , j } $",is at least in,Delta t b sub k comma 0 comma j.,1150153,27
176,and that the family is of the form,$ xy=t_1 $,in a neighbourhood of,x y equals t sub one.,10266328,10
177,at,$ t\Omega_ { ci } =400 $,". We show results for EcsimTiTe4 only since similar features develop in the other simulations . Protons in phase space are shown on the left , and electrons on the",t omega sub c i equals 400,1048721,24
178,however when,$ \mathfrak { b } _ { 1 } =0 $,the overlap with the pseudo-vacuum is zero,Math frak b sub 1 equals 0.,13870629,30
179,The second and third terms are the pseudospin staggered potential,$ \Delta_ { L ( R ) } $,and the spin-orbit coupling,Delta sub L of R,13227104,23
180,Then we have,$ |E| \leq q^ { q^ { 3n } } r_M ( E ) $,.,"Absolute value of E is less than or equal to q to the power of q to the power of 3n, times r sub M of E.",240282,39
181,we can simplify the expressions for,"$ A^\ell , B^\ell , \hat\Phi , \hat G $",at zero source,G hat,11961015,39
182,but this does n't contribute here -- at this order we could consistently simply take the non-zero components,$ C^ { ijk } = -\epsilon_ { kl } K^ { ijl } /4 $,", so they are just given by the lattice invariants . In order to solve the remaining equations ,",C raised to the power of ijk equals negative epsilon sub k l times K raised to the power of i j l divided by 4.,6229340,48
183,and,$ \Gamma ( f ) -\Gamma ( g ) $,", one obtains that",Gamma of f minus Gamma of g.,1387765,30
184,whenever,$ \beta = \exists_ { g } ( \gamma ) $,holds then there exists an arrow,Beta equals the existence of g sub gamma.,7276652,37
185,are samples from the Ising model and,$ N_ { 0 } =10^ { 5 } $,is used in this study .,N sub zero equals ten to the power of five.,13292131,23
186,and start with,$ \epsilon_t = z_t $,. %,Epsilon sub t equals z sub t.,330016,20
187,If,$ L=\tau/n^ { 4/5 } $,", then",L equals tau divided by n to the power of four-fifths.,8470924,21
188,for each component,$ N \subset M $,and each level,N is a subset of M.,15990854,15
189,and fixed-order,$ \text { N } ^ { k-1 } \text { LO } $,matrix element and matching corrections~,"N raised to the power of k minus 1, LO.",10832892,38
190,and,$ r_ { \mathcal { R } } $,", respectively . We set the distance parameters as",r sub R,18980,25
191,The topology,$ \tau_\mathcal { B } ^s $,on,Tau sub B superscript s.,452323,26
192,em The nonlocal-to-local limit of numerical discretizations :,"$ \rho^ { \delta , h } \to\rho^ { 0 , h } $",as,delta.,119184,43
193,Since,"$ I_ { c , sf } ( T ) $",is essentially temperature-independent below,"I sub c, sf of T.",1018081,23
194,after which we obtain,$ x_\tau=x_0=1 $,". To this end , we recall Fermat 's little theorem~",x sub tau equals x sub zero equals one.,14349422,16
195,This further implies that the iterative update of,$ \tilde F^\pi $,provides a robust estimate of the,tilde F pi.,13122683,16
196,&,$ 28.10^ { +0.23 } _ { -0.19 } $,&,"28.10 to the power of plus 0.23, sub minus 0.9.",7390031,32
197,such that,$ r_e = r_f = r_g = $,false in the satisfying assignment of,r sub e equals r sub f equals r sub g equals.,9068997,21
198,&,$ 0.25673 $,&,zero point two five six three.,8445983,11
199,and,"$ a , b=1,2 , \cdots , n-s $",. The same remark to,"a, b equals one, two, dot dot dot, n minus s",4497668,28
200,where,"$ p \in \ { -1 , +1\ } $","is the polarity of the brightness change ,",p belongs to the set containing negative one and positive one.,1230230,24
201,raises the bi-degree from,"$ ( a , b-\ell ) $",to,"Open parenthesis, a, comma, b minus ell, close parenthesis.",11444624,18
202,because for every leaf,$ \bar r \in \bar L $,with,r-bar belongs to L-bar.,23401,21
203,&,$ 0.42\pm0.05 $,&,0.42 plus or minus 0.05,5791352,15
204,Here we focus on the linear response,$ R_ { l/nl } ^ { \left ( 1\omega\right ) } $,", with a brief discussion of",R sub l over n l raised to the power of 1 omega.,454608,45
205,the axis of,$ \phi^r ( l ) $,also contains,phi raised to the power of r of l,15008092,16
206,then,$ p= ( 1-\pi ) p_0+\pi p_1 $,. Since,p equals open parenthesis one minus pi close parenthesis p sub zero plus pi p sub one.,13299387,28
207,to predict transport phenomena corresponding to either low frequency,$ ( k_0 $,",",k sub zero.,11513354,9
208,is a uniformly random bit so the probability,$ b'=b $,is,b prime equals b,15949486,8
209,then we set,"$ d ( v , w ) =\infty $",. The,d of v comma w equals infinity,7832320,23
210,Then,$ v\searrow_V v ' $,and,v implies v prime,14909352,19
211,is replaced by,$ f ( z ) -\bar f ( z ) $,"in the first term ,",eff of z minus bar eff of z,2840576,25
212,&,$ 43.78 $,&,forty-three point seven eight.,11778027,9
213,satisfies,$ B^2 ( \phi_c ) =m^4_\chi-\alpha^4 $,with,B squared of phi sub c equals m to the power of 4 sub chi minus alpha to the power of 4.,5078312,37
214,the distribution of,"$ ( X^ { * } , \tilde { X } ^ { * } ) |C^ { * } $",is an element of,"X raised to the power of star, tilde X raised to the power of star, pipe C raised to the power of star.",10351163,49
215,for all,$ k \geq { 1 } $,. Therefore we obtain,k is greater than or equal to 1.,906704,16
216,imposing,$ f_a \leq m_p $,turns PTA data into a very tight constraint as,f sub a less than or equal to m sub p,8424767,16
217,We assume that,$ r=0.0022 $,transactions per day,r equals zero point zero zero two two.,180693,12
218,and this is a minimal resolution of,$ P ( x ) /I ( x ) $,over,P of x divided by I of x.,12602672,20
219,we set,$ k_z : = k $,. Suppose we have assigned an integer,kay sub z equals kay.,2939437,13
220,For each label,"$ c \in\ { 0,1 , ... , C-1\ } $",", the text input for each label can be organized by","c belongs to the set of 0, 1, dot dot dot, C minus 1.",15695758,31
221,and,$ \gamma ( s ) \in \Omega_\Gamma $,", where",Gamma of s belongs to Omega sub Gamma.,11376537,34
222,if the following holds : for all,"$ x , y , z \in [ n ] $",with,"x, y, z belongs to the set of integers from n.",13479210,23
223,for,$ z\neq 0. $,"Now ,",z not equal to zero.,10864129,12
224,serving as a reference point,$ \Delta V = V_i - V_j $,.,Delta V equals V sub i minus V sub j.,10188879,24
225,This contradicts again that,"$ f ( R^2 , x ) < 1 $",as there is an ad-path from,"f of R squared, x is less than 1",2832667,21
226,&,$ 10_ { 4 } $,&,ten sub four,8886025,13
227,and a very good agreement with the reference value,$ \gamma_ { PT } ^ { ( 1 ) } $,"is obtained . From these DMD simulations , we are also able to get the intramode",gamma sub P T superscript 1,14999394,30
228,boundary spin operator is also considered in order to give coefficients,"$ \alpha_+ , \ \beta_+ , \ \alpha_- , \ \beta_- $",. The first operator we choose is parity operator . We define it in the spin basis and transform to fermions using Eq.~,"Alpha plus, beta plus, alpha minus, beta minus.",944811,49
229,equality holds because if,$ \min_ { p \in \triangle } p^\top A x > 0 $,for some,"Minimize p in the set of delta, p transpose A x, greater than zero.",8516511,44
230,&,$ 32.16 $,&,thirty point one six.,14587110,9
231,implies that,$ uvy=uwt $,", or",u v y equals u w t,8435392,11
232,here we use a decomposition in terms of,$ ( \cos\alpha ) ^n $,. These two bases are uniquely related through the multiple-angle trigonometric formulas . In Fig.~,cosine alpha raised to the power of n,9647437,21
233,and denote,$ B=A [ p^ { -1 } ] < L $,. The corresponding geometrization,"B equals A times the inverse of p, less than L.",4557008,25
234,For,$ \varepsilon=\varepsilon ( \ell ) =1/\ell^2 $,", the following identities hold :",Epsilon equals epsilon of ell equals one over ell squared.,7973349,46
235,and,$ \mu_2=\mu|_ { \Omega } $,for some,mu sub 2 equals mu bar sub Omega.,1841713,26
